; ATT_LAY Data File............Version: BETA : 08-25-96


; Modified on November 24, 1998 
;
; WARNING DO NOT ALTER THIS FILE!
;
; Data file structure:
;   1-2   : Discipline & Drawing Type Code
;   4-14  : Base Layer Name
;   16-30 : NEWW Linetype  (also for "nil suffix")
;   32-34 : NEWW Color Num (also for "nil suffix")
;   36-50 : EXST Linetype
;   52-54 : EXST Color Num
;   56-70 : DEMO Linetype
;   72-74 : DEMO Color Num
;   76-90 : FUTR Linetype
;   92-94 : FUTR Color Num
;

;        1         2         3         4         5         6         7         8         9
;234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234
;  |         = |             = | = |             = | = |             = | = |             = | =
MC M-CPID-STEM Continuous        6 Continuous        7 Dashed           40
MH M-HPID-AIRH Continuous        5 Continuous        7 Dashed           40
MH M-HPID-CTLE Continuous        1 Continuous        7 Dashed           40
MH M-HPID-CTLH Continuous        6 Continuous        7 Dashed           40
MH M-HPID-CTLP Continuous      251 Continuous        7 Dashed           40
MH M-HPID-CWTR Continuous        3 Continuous        7 Dashed           40
MH M-HPID-DWTR Continuous        4 Continuous        7 Dashed           40
MH M-HPID-FDES Dashed          252 Dashed            7 Dashed           40
MH M-HPID-FOIL Continuous        4 Continuous        7 Dashed           40
MH M-HPID-HOTW Continuous        1 Continuous        7 Dashed           40
MH M-HPID-INST Continuous      251 Continuous        7 Dashed           40
MH M-HPID-ITLK Hidden          252 Hidden            7 Dashed           40
MH M-HPID-NGAS Continuous        4 Continuous        7 Dashed           40
MH M-HPID-NOTE Continuous        4 Continuous        7 Dashed           40
MH M-HPID-STEM Continuous        6 Continuous        7 Dashed           40
MY M-SPID-AIRR Continuous        5 Continuous        7 Dashed           40
MY M-SPID-ASTR Continuous      251 Continuous        7 Dashed           40
MY M-SPID-COOL Continuous        3 Continuous        7 Dashed           40
MY M-SPID-CTLE Continuous        1 Continuous        7 Dashed           40
MY M-SPID-CTLH Continuous        6 Continuous        7 Dashed           40
MY M-SPID-CTLP Continuous        5 Continuous        7 Dashed           40
MY M-SPID-EXHS Continuous        4 Continuous        7 Dashed           40
MY M-SPID-FDES Continuous      252 Continuous        7 Dashed           40
MY M-SPID-FOIL Continuous        4 Continuous        7 Dashed           40
MY M-SPID-FUTR Dashed            4 Dashed            7 Dashed           40
MY M-SPID-ITLK Hidden          252 Hidden            7 Dashed           40
MY M-SPID-LOIL Continuous        4 Continuous        7 Dashed           40
MY M-SPID-NOTE Continuous        4 Continuous        7 Dashed           40
MQ M-EQPM-CNDS Continuous        4 Continuous        7 Dashed           40
MQ M-EQPM-COND Continuous        4 Continuous        7 Dashed           40
MQ M-EQPM-CWTR Continuous        3 Continuous        7 Dashed           40
MQ M-EQPM-DIMS Continuous      252 Continuous        7 Dashed           40
MQ M-EQPM-DOMW Continuous        5 Continuous        7 Dashed           40
MQ M-EQPM-FIRE Continuous        1 Continuous        7 Dashed           40
MQ M-EQPM-FOIL Continuous        4 Continuous        7 Dashed           40
MQ M-EQPM-FUTR Dashed            4 Dashed            7 Dashed           40
MQ M-EQPM-HVAC Continuous        5 Continuous        7 Dashed           40
MQ M-EQPM-HWTR Continuous        1 Continuous        7 Dashed           40
MQ M-EQPM-NOTE Continuous        4 Continuous        7 Dashed           40
MQ M-EQPM-REFG Continuous        5 Continuous        7 Dashed           40
MQ M-EQPM-SEWR Continuous        3 Continuous        7 Dashed           40
MQ M-EQPM-STEM Continuous        6 Continuous        7 Dashed           40
MD M-DUCT-CDFF Continuous        4 Continuous        7 Dashed           40
MD M-DUCT-ODFF Continuous        4 Continuous        7 Dashed           40
MD M-DUCT-DIMS Continuous      252 Continuous        7 Dashed           40
MD M-DUCT-EXHS Continuous        6 Continuous        7 Dashed           40
MD M-DUCT-FUTR Dashed            4 Dashed            7 Dashed           40
MD M-DUCT-NOTE Continuous        4 Continuous        7 Dashed           40
MD M-DUCT-ODFF Continuous        1 Continuous        7 Dashed           40
MD M-DUCT-RETN Continuous        3 Continuous        7 Dashed           40
MD M-DUCT-SUPP Continuous        5 Continuous        7 Dashed           40
MD M-HVAC-EQPM Continuous        1 Continuous        7 Dashed           40
MP M-PIPE-COND Continuous        4 Continuous        7 Dashed           40
MP M-PIPE-CWTR Continuous        3 Continuous        7 Dashed           40
MP M-PIPE-DIMS Continuous      252 Continuous        7 Dashed           40
MP M-PIPE-DOMW Continuous        5 Continuous        7 Dashed           40
MP M-PIPE-FOIL Continuous        4 Continuous        7 Dashed           40
MP M-PIPE-FUTR Dashed            4 Dashed            7 Dashed           40
MP M-PIPE-HOTW Continuous        1 Continuous        7 Dashed           40
MP M-PIPE-NOTE Continuous        4 Continuous        7 Dashed           40
MP M-PIPE-REFG Continuous        4 Continuous        7 Dashed           40
MP M-PIPE-STEM Continuous        6 Continuous        7 Dashed           40
PP P-COLW-PIPE Continuous        4 Continuous        7 Dashed           40
PP P-DOMW-DIMS Continuous      252 Continuous        7 Dashed           40
PP P-DOMW-EQPM Continuous        1 Continuous        7 Dashed           40
PP P-DOMW-NOTE Continuous        4 Continuous        7 Dashed           40
PP P-HOTW-PIPE Continuous        1 Continuous        7 Dashed           40
PP P-HWCW-PIPE Continuous        1 Continuous        7 Dashed           40
PP P-ROOF-DRNS Continuous        4 Continuous        7 Dashed           40
PP P-SANR-PIPE Continuous        6 Continuous        7 Dashed           40
PP P-STRM-PIPE Continuous        3 Continuous        7 Dashed           40
PD P-RDOM-COLD Continuous        5 Continuous        7 Dashed           40
PD P-RDOM-EQPM Continuous        6 Continuous        7 Dashed           40
PD P-RDOM-HOTT Continuous        1 Continuous        7 Dashed           40
PD P-RDOM-MAIN Continuous        6 Continuous        7 Dashed           40
PD P-RDOM-NOTE Continuous        4 Continuous        7 Dashed           40
PS P-RSAN-EQPM Continuous        6 Continuous        7 Dashed           40
PS P-RSAN-MAIN Continuous        6 Continuous        7 Dashed           40
PS P-RSAN-NOTE Continuous        4 Continuous        7 Dashed           40
PS P-RSAN-SEWR Continuous        1 Continuous        7 Dashed           40
PS P-RSAN-VENT Dashed            5 Dashed            7 Dashed           40
PG P-RGAS-NGAS Continuous        1 Continuous        7 Dashed           40
PG P-RGAS-EQPM Continuous        6 Continuous        7 Dashed           40
PG P-RGAS-MAIN Continuous        6 Continuous        7 Dashed           40
PG P-RGAS-NOTE Continuous        4 Continuous        7 Dashed           40
PR P-RDRN-EQPM Continuous        6 Continuous        7 Dashed           40
PR P-RDRN-MAIN Continuous        6 Continuous        7 Dashed           40
PR P-RDRN-NOTE Continuous        4 Continuous        7 Dashed           40
PR P-RDRN-RDRN Continuous        1 Continuous        7 Dashed           40
